,xg,yg,halfdyup,halfdylow
0,238.2664425312598,265.7533149545991,7,7
1,239.2664425312598,265.76627646040015,7,7
2,240.2664425312598,265.77923796620115,7,7
3,241.2664425312598,265.7921994720022,7,7
4,242.2664425312598,265.8051609778032,7,7
5,243.2664425312598,265.81812248360427,7,7
6,244.2664425312598,265.83108398940533,7,7
7,245.2664425312598,265.84404549520633,7,7
8,246.2664425312598,265.8570070010074,7,7
9,247.2664425312598,265.8699685068084,7,7
10,248.2664425312598,265.88293001260945,7,7
11,249.2664425312598,265.89589151841045,7,7
12,250.2664425312598,265.9088530242115,7,7
13,251.2664425312598,265.9218145300125,7,7
14,252.2664425312598,265.93477603581357,7,7
15,253.2664425312598,265.94773754161463,7,7
16,254.2664425312598,265.96069904741563,7,7
17,255.2664425312598,265.9736605532167,7,7
18,256.2664425312598,265.9866220590177,7,7
19,257.2664425312598,265.99958356481875,7,7
20,258.2664425312598,266.01254507061975,7,7
21,259.2664425312598,266.0255065764208,7,7
22,260.2664425312598,266.03846808222187,7,7
23,261.2664425312598,266.05142958802287,7,7
24,262.2664425312598,266.06439109382393,7,7
25,263.2664425312598,266.07735259962493,7,7
26,264.2664425312598,266.090314105426,7,7
27,265.2664425312598,266.103275611227,7,7
28,266.2664425312598,266.11623711702805,7,7
29,267.2664425312598,266.12919862282905,7,7
30,268.2664425312598,266.1421601286301,7,7
31,269.2664425312598,266.15512163443117,7,7
32,270.2664425312598,266.16808314023217,7,7
33,271.2664425312598,266.18104464603323,7,7
34,272.2664425312598,266.19400615183423,7,7
35,273.2664425312598,266.2069676576353,7,7
36,274.2664425312598,266.2199291634363,7,7
37,275.2664425312598,266.23289066923735,7,7
38,276.2664425312598,266.2458521750384,7,7
39,277.2664425312598,266.2588136808394,7,7
40,278.2664425312598,266.27177518664047,7,7
41,279.2664425312598,266.28473669244147,7,7
42,280.2664425312598,266.29769819824253,7,7
43,281.2664425312598,266.31065970404353,7,7
44,282.2664425312598,266.3236212098446,7,7
45,283.2664425312598,266.3365827156456,7,7
46,284.2664425312598,266.34954422144665,7,7
47,285.2664425312598,266.3625057272477,7,7
48,286.2664425312598,266.3754672330487,7,7
49,287.2664425312598,266.38842873884977,7,7
50,288.2664425312598,266.40139024465077,7,7
51,289.2664425312598,266.41435175045183,7,7
52,290.2664425312598,266.42731325625283,7,7
53,291.2664425312598,266.4402747620539,7,7
54,292.2664425312598,266.4532362678549,7,7
55,293.2664425312598,266.46619777365595,7,7
56,294.2664425312598,266.479159279457,7,7
57,295.2664425312598,266.492120785258,7,7
58,296.2664425312598,266.50508229105907,7,7
59,297.2664425312598,266.51804379686007,7,7
60,298.2664425312598,266.53100530266113,7,7
61,299.2664425312598,266.54396680846213,7,7
62,300.2664425312598,266.5569283142632,7,7
63,301.2664425312598,266.56988982006425,7,7
64,302.2664425312598,266.58285132586525,7,7
65,303.2664425312598,266.5958128316663,7,7
66,304.2664425312598,266.6087743374673,7,7
67,305.2664425312598,266.62173584326837,7,7
68,306.2664425312598,266.63469734906937,7,7
69,307.2664425312598,266.64765885487043,7,7
70,308.2664425312598,266.66062036067143,7,7
71,309.2664425312598,266.6735818664725,7,7
72,310.2664425312598,266.68654337227355,7,7
73,311.2664425312598,266.69950487807455,7,7
74,312.2664425312598,266.7124663838756,7,7
75,313.2664425312598,266.7254278896766,7,7
