,xyref,xgbound,dydx,dldp,xh,yh,ww
0,172.30951000000002,20,1.6480722290431102,8964.98195441596,20,1.828418596854579,9878.722021122423
1,190.43981000000002,195,0.009017318390573438,45.68514599707558,21,1.8374359152451525,9924.409024457746
2,,,,,22.0,1.8464532336357258,9970.09602779307
3,,,,,23.0,1.8554705520262993,10015.783031128392
4,,,,,24.0,1.8644878704168728,10061.470034463717
5,,,,,25.0,1.873505188807446,10107.15703779904
6,,,,,26.0,1.8825225071980196,10152.844041134362
7,,,,,27.0,1.8915398255885931,10198.531044469686
8,,,,,28.0,1.9005571439791664,10244.218047805009
9,,,,,29.0,1.90957446236974,10289.905051140331
10,,,,,30.0,1.9185917807603134,10335.592054475655
11,,,,,31.0,1.9276090991508867,10381.279057810978
12,,,,,32.0,1.9366264175414603,10426.9660611463
13,,,,,33.0,1.9456437359320338,10472.653064481625
14,,,,,34.0,1.954661054322607,10518.340067816947
15,,,,,35.0,1.9636783727131806,10564.02707115227
16,,,,,36.0,1.972695691103754,10609.714074487594
17,,,,,37.0,1.9817130094943274,10655.401077822917
18,,,,,38.0,1.990730327884901,10701.08808115824
19,,,,,39.0,1.9997476462754742,10746.775084493564
20,,,,,40.0,2.0087649646660477,10792.462087828886
21,,,,,41.0,2.017782283056621,10838.14909116421
22,,,,,42.0,2.0267996014471947,10883.836094499533
23,,,,,43.0,2.0358169198377682,10929.523097834855
24,,,,,44.0,2.0448342382283418,10975.21010117018
25,,,,,45.0,2.053851556618915,11020.897104505502
26,,,,,46.0,2.0628688750094883,11066.584107840825
27,,,,,47.0,2.071886193400062,11112.27111117615
28,,,,,48.0,2.0809035117906354,11157.958114511472
29,,,,,49.0,2.089920830181209,11203.645117846794
30,,,,,50.0,2.098938148571782,11249.332121182118
31,,,,,51.0,2.1079554669623555,11295.019124517441
32,,,,,52.0,2.116972785352929,11340.706127852765
33,,,,,53.0,2.1259901037435025,11386.393131188088
34,,,,,54.0,2.135007422134076,11432.08013452341
35,,,,,55.0,2.1440247405246495,11477.767137858733
36,,,,,56.0,2.153042058915223,11523.454141194057
37,,,,,57.0,2.162059377305796,11569.14114452938
38,,,,,58.0,2.1710766956963696,11614.828147864704
39,,,,,59.0,2.180094014086943,11660.515151200027
40,,,,,60.0,2.1891113324775167,11706.20215453535
41,,,,,61.0,2.1981286508680897,11751.889157870673
42,,,,,62.0,2.2071459692586632,11797.576161205996
43,,,,,63.0,2.2161632876492368,11843.26316454132
44,,,,,64.0,2.2251806060398103,11888.950167876643
45,,,,,65.0,2.234197924430384,11934.637171211965
46,,,,,66.0,2.2432152428209573,11980.324174547288
47,,,,,67.0,2.252232561211531,12026.011177882612
48,,,,,68.0,2.261249879602104,12071.698181217935
49,,,,,69.0,2.2702671979926774,12117.385184553259
50,,,,,70.0,2.279284516383251,12163.072187888582
51,,,,,71.0,2.2883018347738244,12208.759191223904
52,,,,,72.0,2.2973191531643975,12254.446194559227
53,,,,,73.0,2.306336471554971,12300.13319789455
54,,,,,74.0,2.3153537899455445,12345.820201229873
55,,,,,75.0,2.324371108336118,12391.507204565198
56,,,,,76.0,2.3333884267266916,12437.19420790052
57,,,,,77.0,2.342405745117265,12482.881211235843
58,,,,,78.0,2.3514230635078386,12528.568214571167
59,,,,,79.0,2.360440381898412,12574.25521790649
60,,,,,80.0,2.369457700288985,12619.942221241812
61,,,,,81.0,2.3784750186795587,12665.629224577136
62,,,,,82.0,2.387492337070132,12711.316227912459
63,,,,,83.0,2.3965096554607057,12757.003231247782
64,,,,,84.0,2.405526973851279,12802.690234583106
65,,,,,85.0,2.4145442922418523,12848.377237918428
66,,,,,86.0,2.423561610632426,12894.06424125375
67,,,,,87.0,2.4325789290229993,12939.751244589075
68,,,,,88.0,2.441596247413573,12985.438247924398
69,,,,,89.0,2.4506135658041464,13031.12525125972
70,,,,,90.0,2.45963088419472,13076.812254595045
71,,,,,91.0,2.468648202585293,13122.499257930367
72,,,,,92.0,2.4776655209758665,13168.186261265691
73,,,,,93.0,2.48668283936644,13213.873264601014
74,,,,,94.0,2.4957001577570135,13259.560267936336
75,,,,,95.0,2.504717476147587,13305.247271271659
76,,,,,96.0,2.51373479453816,13350.934274606983
77,,,,,97.0,2.5227521129287336,13396.621277942308
78,,,,,98.0,2.531769431319307,13442.30828127763
79,,,,,99.0,2.5407867497098806,13487.995284612953
80,,,,,100.0,2.549804068100454,13533.682287948275
81,,,,,101.0,2.5588213864910276,13579.3692912836
82,,,,,102.0,2.567838704881601,13625.056294618922
83,,,,,103.0,2.5768560232721742,13670.743297954246
84,,,,,104.0,2.5858733416627477,13716.430301289569
85,,,,,105.0,2.5948906600533213,13762.117304624891
86,,,,,106.0,2.6039079784438948,13807.804307960214
87,,,,,107.0,2.612925296834468,13853.491311295538
88,,,,,108.0,2.6219426152250414,13899.178314630863
89,,,,,109.0,2.630959933615615,13944.865317966185
90,,,,,110.0,2.6399772520061884,13990.552321301508
91,,,,,111.0,2.648994570396762,14036.23932463683
92,,,,,112.0,2.6580118887873354,14081.926327972153
93,,,,,113.0,2.667029207177909,14127.613331307477
94,,,,,114.0,2.6760465255684824,14173.300334642801
95,,,,,115.0,2.6850638439590555,14218.987337978124
96,,,,,116.0,2.694081162349629,14264.674341313446
97,,,,,117.0,2.7030984807402025,14310.361344648769
98,,,,,118.0,2.7121157991307756,14356.048347984093
99,,,,,119.0,2.721133117521349,14401.735351319416
100,,,,,120.0,2.7301504359119226,14447.42235465474
101,,,,,121.0,2.739167754302496,14493.109357990063
102,,,,,122.0,2.7481850726930697,14538.796361325385
103,,,,,123.0,2.757202391083643,14584.483364660708
104,,,,,124.0,2.7662197094742167,14630.170367996032
105,,,,,125.0,2.77523702786479,14675.857371331354
106,,,,,126.0,2.7842543462553637,14721.544374666679
107,,,,,127.0,2.793271664645937,14767.231378002001
108,,,,,128.0,2.8022889830365103,14812.918381337324
109,,,,,129.0,2.811306301427084,14858.605384672646
110,,,,,130.0,2.820323619817657,14904.29238800797
111,,,,,131.0,2.8293409382082304,14949.979391343293
112,,,,,132.0,2.838358256598804,14995.666394678618
113,,,,,133.0,2.8473755749893774,15041.35339801394
114,,,,,134.0,2.856392893379951,15087.040401349263
115,,,,,135.0,2.8654102117705245,15132.727404684587
116,,,,,136.0,2.874427530161098,15178.414408019911
117,,,,,137.0,2.8834448485516715,15224.101411355234
118,,,,,138.0,2.892462166942245,15269.788414690556
119,,,,,139.0,2.901479485332818,15315.475418025879
120,,,,,140.0,2.9104968037233916,15361.162421361201
