,xyref,xgbound,dydx,dldp,xh,yh,ww
0,247.50495954876894,25,-0.7327705796914715,6390.268417295042,25,-0.4153403512485867,6990.686486910821
1,155.38331966808235,250,0.012697209137715394,24.014787041232218,26,-0.40264314211087127,7014.703209695453
2,,,,,27.0,-0.3899459329731559,7038.719932480084
3,,,,,28.0,-0.3772487238354405,7062.736655264715
4,,,,,29.0,-0.3645515146977251,7086.753378049347
5,,,,,30.0,-0.3518543055600097,7110.770100833977
6,,,,,31.0,-0.3391570964222943,7134.786823618609
7,,,,,32.0,-0.3264598872845789,7158.80354640324
8,,,,,33.0,-0.31376267814686354,7182.820269187871
9,,,,,34.0,-0.30106546900914816,7206.836991972502
10,,,,,35.0,-0.2883682598714327,7230.853714757133
11,,,,,36.0,-0.27567105073371734,7254.870437541765
12,,,,,37.0,-0.26297384159600196,7278.887160326396
13,,,,,38.0,-0.2502766324582866,7302.903883111027
14,,,,,39.0,-0.23757942332057114,7326.920605895658
15,,,,,40.0,-0.2248822141828558,7350.937328680289
16,,,,,41.0,-0.21218500504514037,7374.954051464921
17,,,,,42.0,-0.19948779590742494,7398.970774249552
18,,,,,43.0,-0.1867905867697096,7422.9874970341825
19,,,,,44.0,-0.17409337763199417,7447.004219818814
20,,,,,45.0,-0.16139616849427885,7471.020942603445
21,,,,,46.0,-0.1486989593565634,7495.037665388077
22,,,,,47.0,-0.13600175021884797,7519.054388172708
23,,,,,48.0,-0.12330454108113265,7543.0711109573385
24,,,,,49.0,-0.11060733194341721,7567.08783374197
25,,,,,50.0,-0.09791012280570188,7591.104556526601
26,,,,,51.0,-0.08521291366798645,7615.121279311233
27,,,,,52.0,-0.07251570453027101,7639.138002095864
28,,,,,53.0,-0.05981849539255568,7663.1547248804945
29,,,,,54.0,-0.047121286254840244,7687.171447665126
30,,,,,55.0,-0.03442407711712481,7711.188170449757
31,,,,,56.0,-0.02172686797940948,7735.204893234388
32,,,,,57.0,-0.009029658841694044,7759.22161601902
33,,,,,58.0,0.0036675502960212825,7783.238338803651
34,,,,,59.0,0.01636475943373672,7807.255061588282
35,,,,,60.0,0.029061968571452157,7831.271784372913
36,,,,,61.0,0.04175917770916748,7855.288507157544
37,,,,,62.0,0.05445638684688292,7879.305229942175
38,,,,,63.0,0.06715359598459825,7903.321952726807
39,,,,,64.0,0.07985080512231368,7927.338675511438
40,,,,,65.0,0.09254801426002912,7951.355398296069
41,,,,,66.0,0.10524522339774445,7975.3721210807
42,,,,,67.0,0.11794243253545988,7999.388843865331
43,,,,,68.0,0.1306396416731752,8023.405566649963
44,,,,,69.0,0.14333685081089065,8047.422289434594
45,,,,,70.0,0.15603405994860609,8071.439012219225
46,,,,,71.0,0.1687312690863214,8095.455735003856
47,,,,,72.0,0.18142847822403685,8119.472457788487
48,,,,,73.0,0.19412568736175217,8143.489180573119
49,,,,,74.0,0.2068228964994676,8167.505903357749
50,,,,,75.0,0.21952010563718305,8191.522626142381
51,,,,,76.0,0.23221731477489838,8215.539348927012
52,,,,,77.0,0.2449145239126138,8239.556071711642
53,,,,,78.0,0.25761173305032925,8263.572794496275
54,,,,,79.0,0.2703089421880446,8287.589517280905
55,,,,,80.0,0.2830061513257599,8311.606240065537
56,,,,,81.0,0.29570336046347545,8335.622962850168
57,,,,,82.0,0.3084005696011908,8359.639685634798
58,,,,,83.0,0.3210977787389061,8383.65640841943
59,,,,,84.0,0.33379498787662165,8407.673131204061
60,,,,,85.0,0.346492197014337,8431.689853988693
61,,,,,86.0,0.3591894061520523,8455.706576773324
62,,,,,87.0,0.37188661528976785,8479.723299557954
63,,,,,88.0,0.3845838244274832,8503.740022342587
64,,,,,89.0,0.3972810335651985,8527.756745127217
65,,,,,90.0,0.40997824270291383,8551.773467911848
66,,,,,91.0,0.4226754518406294,8575.79019069648
67,,,,,92.0,0.4353726609783447,8599.80691348111
68,,,,,93.0,0.44806987011606003,8623.823636265743
69,,,,,94.0,0.4607670792537756,8647.840359050373
70,,,,,95.0,0.4734642883914909,8671.857081835005
71,,,,,96.0,0.48616149752920623,8695.873804619636
72,,,,,97.0,0.4988587066669218,8719.890527404266
73,,,,,98.0,0.5115559158046371,8743.907250188899
74,,,,,99.0,0.5242531249423524,8767.923972973529
75,,,,,100.0,0.5369503340800678,8791.94069575816
76,,,,,101.0,0.5496475432177833,8815.957418542792
77,,,,,102.0,0.5623447523554986,8839.974141327422
78,,,,,103.0,0.575041961493214,8863.990864112053
79,,,,,104.0,0.5877391706309295,8888.007586896685
80,,,,,105.0,0.6004363797686448,8912.024309681317
81,,,,,106.0,0.6131335889063602,8936.041032465948
82,,,,,107.0,0.6258307980440757,8960.057755250578
83,,,,,108.0,0.638528007181791,8984.07447803521
84,,,,,109.0,0.6512252163195064,9008.091200819841
85,,,,,110.0,0.6639224254572219,9032.107923604472
86,,,,,111.0,0.6766196345949372,9056.124646389104
87,,,,,112.0,0.6893168437326526,9080.141369173734
88,,,,,113.0,0.7020140528703679,9104.158091958365
89,,,,,114.0,0.7147112620080834,9128.174814742997
90,,,,,115.0,0.7274084711457988,9152.191537527628
91,,,,,116.0,0.7401056802835141,9176.208260312258
92,,,,,117.0,0.7528028894212296,9200.22498309689
93,,,,,118.0,0.765500098558945,9224.241705881523
94,,,,,119.0,0.7781973076966603,9248.258428666153
95,,,,,120.0,0.7908945168343758,9272.275151450784
96,,,,,121.0,0.8035917259720912,9296.291874235416
97,,,,,122.0,0.8162889351098065,9320.308597020046
98,,,,,123.0,0.8289861442475218,9344.325319804677
99,,,,,124.0,0.8416833533852374,9368.34204258931
100,,,,,125.0,0.8543805625229527,9392.35876537394
101,,,,,126.0,0.867077771660668,9416.37548815857
102,,,,,127.0,0.8797749807983836,9440.392210943202
103,,,,,128.0,0.8924721899360989,9464.408933727833
104,,,,,129.0,0.9051693990738142,9488.425656512465
105,,,,,130.0,0.9178666082115298,9512.442379297096
106,,,,,131.0,0.9305638173492451,9536.459102081728
107,,,,,132.0,0.9432610264869604,9560.475824866358
108,,,,,133.0,0.955958235624676,9584.492547650989
109,,,,,134.0,0.9686554447623913,9608.509270435621
110,,,,,135.0,0.9813526539001066,9632.525993220252
111,,,,,136.0,0.994049863037822,9656.542716004882
112,,,,,137.0,1.0067470721755374,9680.559438789514
113,,,,,138.0,1.0194442813132527,9704.576161574145
114,,,,,139.0,1.032141490450968,9728.592884358777
115,,,,,140.0,1.0448386995886838,9752.609607143408
116,,,,,141.0,1.0575359087263991,9776.62632992804
117,,,,,142.0,1.0702331178641145,9800.64305271267
118,,,,,143.0,1.0829303270018298,9824.6597754973
119,,,,,144.0,1.095627536139545,9848.676498281933
120,,,,,145.0,1.1083247452772604,9872.693221066564
121,,,,,146.0,1.1210219544149758,9896.709943851194
122,,,,,147.0,1.1337191635526915,9920.726666635826
123,,,,,148.0,1.1464163726904069,9944.743389420457
124,,,,,149.0,1.1591135818281222,9968.760112205087
125,,,,,150.0,1.1718107909658375,9992.77683498972
126,,,,,151.0,1.1845080001035528,10016.793557774352
127,,,,,152.0,1.1972052092412682,10040.810280558982
128,,,,,153.0,1.209902418378984,10064.827003343613
129,,,,,154.0,1.2225996275166993,10088.843726128243
130,,,,,155.0,1.2352968366544146,10112.860448912876
131,,,,,156.0,1.24799404579213,10136.877171697506
