,ww,cps
0,7003.711376111305,38.326950430870056
1,7027.726632032743,40.855869114398956
2,7051.74188795418,39.50029242038727
3,7075.757143875618,41.18701273202896
4,7099.772399797055,39.21817570924759
5,7123.787655718494,39.92456370592117
6,7147.802911639931,38.91477954387665
7,7171.818167561369,39.64913111925125
8,7195.833423482806,40.06238800287247
9,7219.848679404244,36.80173200368881
10,7243.863935325682,38.3345787525177
11,7267.87919124712,38.129522919654846
12,7291.894447168557,38.39002001285553
13,7315.909703089995,38.31690412759781
14,7339.924959011432,38.985098361968994
15,7363.940214932871,38.30220240354538
16,7387.955470854308,39.19037044048309
17,7411.970726775746,39.87854725122452
18,7435.985982697183,39.335403978824615
19,7460.001238618621,40.32245314121246
20,7484.016494540059,40.841166853904724
21,7508.031750461497,40.77833080291748
22,7532.047006382934,44.63461297750473
23,7556.062262304372,45.82373631000519
24,7580.077518225809,51.65248703956604
25,7604.092774147248,57.295803904533386
26,7628.108030068685,66.60460877418518
27,7652.123285990123,76.17980313301086
28,7676.13854191156,95.51881718635559
29,7700.153797832998,124.21063315868378
30,7724.169053754436,183.73127222061157
31,7748.184309675873,245.49608957767487
32,7772.199565597311,241.65903270244598
33,7796.214821518749,234.76227474212646
34,7820.2300774401865,258.1693867444992
35,7844.245333361625,308.5533821582794
36,7868.2605892830625,356.1528995037079
37,7892.2758452045,402.4242670536041
38,7916.2911011259375,449.04901599884033
39,7940.306357047375,483.82792830467224
40,7964.3216129688135,521.4664624929428
41,7988.336868890251,567.3478493690491
42,8012.352124811689,608.1130586862564
43,8036.367380733126,628.8180997371674
44,8060.382636654564,651.3741047382355
45,8084.397892576001,683.8126120567322
46,8108.413148497439,705.7576773166656
47,8132.428404418877,735.681666135788
48,8156.443660340315,771.7590932846069
49,8180.458916261752,817.7830080986023
50,8204.47417218319,854.6272149085999
51,8228.489428104627,880.6044225692749
52,8252.504684026066,913.4761950969696
53,8276.519939947502,942.0800471305847
54,8300.53519586894,945.8525896072388
55,8324.55045179038,976.846602678299
56,8348.565707711816,1015.7941675186157
57,8372.580963633254,1033.4028677940369
58,8396.59621955469,1061.4603261947632
59,8420.61147547613,1163.443481206894
60,8444.626731397568,1210.7990186214447
61,8468.641987319004,1227.0826952457428
62,8492.657243240443,1193.4243431091309
63,8516.67249916188,1147.5875828266144
64,8540.687755083318,1160.315356016159
65,8564.703011004756,1155.464507341385
66,8588.718266926193,1181.084275484085
67,8612.733522847631,1163.7780005931854
68,8636.748778769068,1135.9072194099426
69,8660.764034690506,1227.3558297157288
70,8684.779290611943,1199.5040321350098
71,8708.794546533381,1184.482246875763
72,8732.80980245482,1305.6165745258331
73,8756.825058376256,1430.6239562034607
74,8780.840314297695,1359.9166722297668
75,8804.855570219133,1245.7718653678894
76,8828.87082614057,1311.3872184753418
77,8852.886082062008,1629.4917516708374
78,8876.901337983445,1725.3954520225525
79,8900.916593904883,1549.2059440612793
80,8924.93184982632,1483.7550525665283
81,8948.947105747759,1578.1188535690308
82,8972.962361669197,1924.6753134727478
83,8996.977617590634,2609.1985845565796
84,9020.992873512072,3951.396890640259
85,9045.00812943351,8141.118754386902
86,9069.023385354947,13285.771286964417
87,9093.038641276384,10289.901216506958
88,9117.053897197822,5767.791211128235
89,9141.06915311926,3297.917657852173
90,9165.084409040697,2431.9014945030212
91,9189.099664962136,2289.9750714302063
92,9213.114920883574,2827.0281043052673
93,9237.13017680501,2956.607488632202
94,9261.14543272645,2443.559983253479
95,9285.160688647888,1981.2531042099
96,9309.175944569324,1846.0150136947632
97,9333.191200490763,1884.2633686065674
98,9357.2064564122,2007.903307914734
99,9381.221712333638,2258.1659927368164
100,9405.236968255074,2719.8437089920044
101,9429.252224176513,3429.0796613693237
102,9453.267480097951,4560.343372344971
103,9477.282736019388,7628.886675834656
104,9501.297991940826,20661.60023212433
105,9525.313247862265,44177.051849365234
106,9549.328503783701,39787.1191368103
107,9573.34375970514,23051.16561126709
108,9597.359015626576,10534.623083114624
109,9621.374271548015,6039.607135772705
110,9645.389527469451,4363.41961479187
111,9669.40478339089,3466.413146018982
112,9693.420039312328,2707.6326217651367
113,9717.435295233765,2237.8687982559204
114,9741.450551155203,2025.2302675247192
115,9765.46580707664,1949.618893623352
116,9789.481062998078,1934.6965808868408
117,9813.496318919515,1915.5683145523071
118,9837.511574840953,1934.2677021026611
119,9861.526830762392,1959.2942485809326
120,9885.542086683829,1991.5985822677612
121,9909.557342605267,2056.2687015533447
122,9933.572598526705,2111.7620248794556
123,9957.587854448142,2196.7930183410645
124,9981.60311036958,2413.056176185608
125,10005.618366291017,3098.1214694976807
126,10029.633622212456,5052.526099205017
127,10053.648878133892,6383.19069480896
128,10077.66413405533,5217.633118629456
129,10101.679389976769,3299.3244409561157
130,10125.694645898206,2744.410111427307
131,10149.709901819644,2535.051145553589
132,10173.725157741083,2287.6273126602173
133,10197.74041366252,2211.8004188537598
134,10221.755669583958,2163.5415799617767
135,10245.770925505396,2207.4900106769055
136,10269.786181426833,2423.522823046893
137,10293.80143734827,2725.306495308876
138,10317.816693269708,2949.3627338409424
139,10341.831949191146,2805.856104850769
140,10365.847205112583,2637.3725814819336
141,10389.862461034021,2516.616268157959
142,10413.877716955458,2403.9291639328003
143,10437.892972876896,2349.1258611679077
144,10461.908228798333,2304.6951570510864
145,10485.923484719771,2322.143780708313
146,10509.93874064121,2328.372166633606
147,10533.953996562646,2329.741222381592
148,10557.969252484085,2429.6687030792236
149,10581.984508405523,2618.123426437378
150,10605.99976432696,2829.367057800293
151,10630.015020248396,3141.666130065918
152,10654.030276169837,3743.780927658081
153,10678.045532091273,4462.647630691528
154,10702.060788012712,5683.488046646118
155,10726.076043934148,7707.725971221924
156,10750.091299855587,11007.030944824219
157,10774.106555777023,21223.592582702637
158,10798.121811698462,62859.68870925903
159,10822.1370676199,127931.5504989624
160,10846.152323541337,119771.6580581665
161,10870.167579462774,63506.16506958008
162,10894.182835384214,31296.839813232422
163,10918.19809130565,23940.646366119385
164,10942.213347227087,19035.88864517212
165,10966.228603148526,12630.63837814331
166,10990.243859069964,7407.250198364258
167,11014.2591149914,4999.911201477051
168,11038.274370912839,3959.502372741699
169,11062.289626834277,3267.2253952026367
170,11086.304882755714,2926.026393890381
171,11110.320138677152,2676.830316543579
172,11134.335394598591,2571.3883724212646
173,11158.350650520028,2501.0019359588623
174,11182.365906441464,2428.980827331543
175,11206.381162362903,2414.6719188690186
176,11230.396418284341,2455.830574989319
177,11254.411674205778,2486.8351545333862
178,11278.426930127216,2468.161491394043
179,11302.442186048655,2450.5235595703125
180,11326.457441970091,2385.3968925476074
181,11350.472697891528,2268.6982412338257
182,11374.487953812966,2184.877227783203
183,11398.503209734405,2026.2699480056763
184,11422.518465655841,1812.7751922607422
185,11446.53372157728,1523.3511891365051
186,11470.548977498718,1210.972782611847
187,11494.564233420155,968.2655777931213
188,11518.579489341593,815.5482401847839
189,11542.594745263032,666.7445831298828
190,11566.610001184468,555.9034051895142
191,11590.625257105905,455.9006690979004
192,11614.640513027345,347.50325441360474
193,11638.655768948782,270.8369483947754
194,11662.671024870218,205.23968148231506
195,11686.686280791657,167.78243899345398
196,11710.701536713095,145.00122237205505
197,11734.716792634532,135.52452301979065
198,11758.73204855597,113.20207977294922
199,11782.747304477407,115.4879801273346
200,11806.762560398845,90.04654014110565
201,11830.777816320282,96.41506552696228
202,11854.793072241722,90.01329112052917
203,11878.808328163159,84.52785730361938
204,11902.823584084595,77.58839678764343
205,11926.838840006034,72.4157201051712
206,11950.854095927472,68.74053359031677
207,11974.869351848909,64.46907043457031
208,11998.884607770346,61.52757787704468
209,12022.899863691786,60.06334137916565
210,12046.915119613222,55.89557373523712
211,12070.93037553466,50.862696290016174
212,12094.945631456098,78.97142326831818
213,12118.960887377536,54.5845445394516
214,12142.976143298973,54.27059209346771
215,12166.991399220411,52.28166341781616
216,12191.00665514185,50.7082633972168
217,12215.021911063286,49.75654709339142
218,12239.037166984725,50.10144519805908
219,12263.052422906163,48.49920070171356
220,12287.0676788276,47.73823297023773
221,12311.082934749036,48.6603866815567
222,12335.098190670475,48.95993971824646
223,12359.113446591913,48.21189081668854
224,12383.12870251335,48.90661704540253
