,xyd,xydiff,xyoff,confile,beam,gfile,dfile,xyref
0,609.08939,-1.5862767677319756,0.0,/Users/kbhirombhakdi/_work/_calib_files/WFC3.IR.G102.cal.V4.32/G102.F110W.V4.32.conf,A,/Users/kbhirombhakdi/_work/_data/15089/mastDownload/HST/idlk01jrq/idlk01jrq_flt.fits,/Users/kbhirombhakdi/_work/_data/15089/mastDownload/HST/idlk01jjq/idlk01jjq_flt.fits,607.503113232268
1,412.55856,2.3628849375417706,0.0,,,1.0,1.0,414.92144493754176
