,xyd,xydiff,xyoff,confile,beam,gfile,dfile,xyref
0,677.03785,10.54971516426528,0.0,/Users/kbhirombhakdi/_work/_calib_files/WFC3.IR.G141.cal.V4.32/G141.F140W.V4.32.conf,A,./idwbk4d2q_S04/idwbk4d2q_crclean.fits,/Users/kbhirombhakdi/_work/_data/15510/mastDownload/HST/idwbk4czq/idwbk4czq_flt.fits,687.5875651642654
1,266.3912,9.426908171769242,0.0,,,1.0,1.0,275.81810817176927
