,xg_object,yg_object,ww_object,yg_contaminate,ww_contaminate,halfdy_contaminate_in,halfdy_contaminate_out,apcorr_contaminate_in,apcorr_contaminate_out
0,539,541,7640.3115247719015,,,,,,
1,540,541,7664.7602939750695,,,,,,
2,541,541,7689.209063178236,,,,,,
3,542,541,7713.657832381403,,,,,,
4,543,541,7738.10660158457,,,,,,
5,544,541,7762.555370787737,,,,,,
6,545,541,7787.004139990904,,,,,,
7,546,541,7811.452909194071,,,,,,
8,547,541,7835.901678397237,,,,,,
9,548,541,7860.3504476004055,,,,,,
10,549,541,7884.799216803573,,,,,,
11,550,541,7909.247986006741,,,,,,
12,551,541,7933.696755209908,,,,,,
13,552,541,7958.145524413074,,,,,,
14,553,541,7982.594293616242,,,,,,
15,554,541,8007.043062819408,,,,,,
16,555,542,8031.491832022574,,,,,,
17,556,542,8055.940601225742,,,,,,
18,557,542,8080.3893704289085,,,,,,
19,558,542,8104.8381396320765,,,,,,
20,559,542,8129.2869088352445,,,,,,
21,560,542,8153.735678038411,,,,,,
22,561,542,8178.184447241577,,,,,,
23,562,542,8202.633216444745,,,,,,
24,563,542,8227.081985647908,,,,,,
25,564,542,8251.53075485108,,,,,,
26,565,542,8275.979524054246,,,,,,
27,566,542,8300.428293257411,,,,,,
28,567,542,8324.877062460579,,,,,,
29,568,542,8349.325831663746,,,,,,
30,569,542,8373.774600866913,,,,,,
31,570,542,8398.22337007008,,,,,,
32,571,542,8422.672139273247,,,,,,
33,572,542,8447.120908476414,,,,,,
34,573,542,8471.569677679581,,,,,,
35,574,542,8496.018446882748,,,,,,
36,575,542,8520.467216085915,,,,,,
37,576,542,8544.915985289083,,,,,,
38,577,542,8569.36475449225,,,,,,
39,578,542,8593.813523695417,,,,,,
40,579,542,8618.262292898584,,,,,,
41,580,542,8642.711062101751,,,,,,
42,581,542,8667.159831304918,,,,,,
43,582,542,8691.608600508085,,,,,,
44,583,542,8716.057369711252,,,,,,
45,584,542,8740.50613891442,,,,,,
46,585,542,8764.954908117585,,,,,,
47,586,542,8789.403677320754,,,,,,
48,587,542,8813.85244652392,,,,,,
49,588,542,8838.301215727088,,,,,,
50,589,542,8862.749984930255,,,,,,
51,590,542,8887.19875413342,,,,,,
52,591,542,8911.647523336589,,,,,,
53,592,542,8936.096292539753,,,,,,
54,593,542,8960.545061742923,,,,,,
55,594,542,8984.993830946089,,,,,,
56,595,542,9009.442600149257,,,,,,
57,596,542,9033.891369352425,,,,,,
58,597,542,9058.340138555592,,,,,,
59,598,542,9082.788907758757,,,,,,
60,599,542,9107.237676961926,,,,,,
61,600,542,9131.686446165091,,,,,,
62,601,542,9156.135215368258,,,,,,
63,602,542,9180.583984571425,,,,,,
64,603,542,9205.032753774592,,,,,,
65,604,542,9229.48152297776,,,,,,
66,605,542,9253.930292180929,,,,,,
67,606,542,9278.379061384094,,,,,,
68,607,542,9302.827830587259,,,,,,
69,608,542,9327.276599790428,,,,,,
70,609,542,9351.725368993597,,,,,,
71,610,542,9376.174138196762,,,,,,
72,611,542,9400.62290739993,,,,,,
73,612,542,9425.071676603096,,,,,,
74,613,542,9449.520445806264,,,,,,
75,614,542,9473.96921500943,,,,,,
76,615,542,9498.417984212598,,,,,,
77,616,542,9522.866753415765,,,,,,
78,617,542,9547.315522618932,,,,,,
79,618,542,9571.764291822099,,,,,,
80,619,542,9596.213061025266,,,,,,
81,620,542,9620.661830228431,,,,,,
82,621,542,9645.1105994316,,,,,,
83,622,542,9669.559368634767,,,,,,
84,623,542,9694.008137837933,,,,,,
85,624,542,9718.456907041102,,,,,,
86,625,542,9742.905676244267,,,,,,
87,626,542,9767.354445447436,,,,,,
88,627,542,9791.803214650601,,,,,,
89,628,542,9816.251983853768,,,,,,
90,629,542,9840.700753056935,,,,,,
91,630,542,9865.149522260102,,,,,,
92,631,543,9889.59829146327,,,,,,
93,632,543,9914.047060666435,,,,,,
94,633,543,9938.495829869604,,,,,,
95,634,543,9962.944599072769,,,,,,
96,635,543,9987.393368275938,,,,,,
97,636,543,10011.842137479103,,,,,,
98,637,543,10036.290906682272,,,,,,
99,638,543,10060.739675885441,,,,,,
100,639,543,10085.188445088606,,,,,,
101,640,543,10109.637214291772,,,,,,
102,641,543,10134.08598349494,,,,,,
103,642,543,10158.534752698108,,,,,,
104,643,543,10182.983521901275,,,,,,
105,644,543,10207.432291104442,,,,,,
106,645,543,10231.881060307607,,,,,,
107,646,543,10256.329829510776,550,7029.878554813457,1,12,0.82626953125,0.9808194986072424
108,647,543,10280.778598713943,550,7054.3552192909865,1,12,0.8262695312499999,0.9808194986072424
109,648,543,10305.227367917108,550,7078.831883768515,1,12,0.82626953125,0.9808194986072424
110,649,543,10329.676137120276,550,7103.308548246044,1,12,0.8262695312499998,0.9808194986072424
111,650,543,10354.124906323443,550,7127.785212723573,1,12,0.82626953125,0.9808194986072424
112,651,543,10378.573675526613,551,7152.261877201102,2,13,0.8910505836575875,0.9831370473537606
113,652,543,10403.02244472978,551,7176.738541678632,2,13,0.8910505836575876,0.9831370473537605
114,653,543,10427.471213932946,551,7201.21520615616,2,13,0.8910505836575875,0.9831370473537606
115,654,543,10451.919983136113,551,7225.691870633689,2,13,0.8910505836575876,0.9831370473537606
116,655,543,10476.36875233928,551,7250.168535111218,2,13,0.8910505836575877,0.9831370473537606
117,656,543,10500.817521542447,551,7274.645199588747,2,13,0.8910505836575877,0.9831370473537605
118,657,543,10525.266290745614,551,7299.1218640662755,2,13,0.8910505836575876,0.9831370473537607
119,658,543,10549.71505994878,551,7323.598528543805,2,13,0.8910505836575875,0.9831370473537605
120,659,543,10574.163829151948,551,7348.0751930213355,2,13,0.8910505836575876,0.9831370473537606
121,660,543,10598.612598355114,551,7372.551857498864,2,13,0.8910505836575876,0.9831370473537606
122,661,543,10623.061367558284,551,7397.028521976394,2,13,0.8910505836575876,0.9831370473537605
123,662,543,10647.510136761448,551,7421.505186453924,2,13,0.8910505836575877,0.9831370473537606
124,663,543,10671.958905964615,551,7445.981850931452,2,13,0.8910505836575876,0.9831370473537605
125,664,543,10696.407675167782,551,7470.458515408979,2,13,0.8910505836575876,0.9831370473537605
126,665,543,10720.85644437095,551,7494.935179886509,2,13,0.8910505836575877,0.9831370473537606
127,666,543,10745.305213574116,551,7519.411844364039,2,13,0.8910505836575876,0.9831370473537606
128,667,543,10769.753982777283,551,7543.888508841568,2,13,0.8910505836575875,0.9831370473537606
129,668,543,10794.20275198045,551,7568.365173319096,2,13,0.8910505836575876,0.9831370473537606
130,669,543,10818.651521183618,551,7592.841837796626,2,13,0.8910505836575875,0.9831370473537606
131,670,543,10843.100290386783,551,7617.318502274155,2,13,0.8910505836575877,0.9831370473537606
132,671,543,10867.549059589952,551,7641.795166751684,2,13,0.8910505836575877,0.9831370473537605
133,672,543,10891.99782879312,551,7666.271831229214,2,13,0.8910505836575876,0.9831370473537604
134,673,543,10916.446597996286,551,7690.748495706744,2,13,0.8910505836575875,0.9831370473537606
135,674,543,10940.895367199451,551,7715.225160184273,2,13,0.8910505836575875,0.9831370473537605
136,675,543,10965.34413640262,551,7739.701824661801,2,13,0.8910505836575876,0.9831370473537605
