,ww,cps,apcorr,drzblot_apcorr,sensitivity,wwperpix,flam
0,9880.737504922843,0.42070140232526887,0.9532723036009576,0.941175429386487,1.0,45.53934160440258,0.010296737856170014
1,9926.276846527246,0.3619191824384891,0.9532723036009576,0.941175429386487,1.0,45.5393416044044,0.008858033099226753
2,9971.81618813165,0.32611443390333283,0.9532723036009576,0.941175429386487,32495714674779.375,45.53934160440258,2.456233356668395e-16
3,10017.355529736053,0.2180626570173465,0.9532723036009576,0.941175429386487,42809599962838.914,45.5393416044044,1.2467111008755124e-16
4,10062.894871340457,0.19875337471449006,0.9532723036009576,0.941175429386487,49905397449630.6,45.53934160440258,9.74748755382658e-17
5,10108.43421294486,0.2879340826460086,0.9532723036009576,0.941175429386487,53271506459935.41,45.5393416044044,1.322890182376973e-16
6,10153.973554549264,0.34019460072004426,0.9532723036009576,0.941175429386487,55853733698950.76,45.53934160440258,1.4907365617510225e-16
7,10199.512896153667,0.43616606583082307,0.9532723036009576,0.941175429386487,64617256935075.2,45.5393416044044,1.6520723121006814e-16
8,10245.052237758071,0.44097532619917024,0.9532723036009576,0.941175429386487,85394463688140.69,45.53934160440258,1.2638928918852349e-16
9,10290.591579362474,0.40366198410474885,0.9532723036009576,0.941175429386487,115207168240331.69,45.5393416044044,8.575590711121604e-17
10,10336.130920966878,0.47243775715314973,0.9532723036009576,0.941175429386487,146170623076780.38,45.53934160440258,7.910614070549519e-17
11,10381.67026257128,0.4757291256376468,0.9532723036009576,0.941175429386487,175102417000963.47,45.5393416044044,6.649565936861751e-17
12,10427.209604175685,0.4824803053327762,0.9532723036009576,0.941175429386487,212434915798424.28,45.53934160440258,5.558778741287267e-17
13,10472.748945780088,0.43967058052503694,0.9532723036009576,0.941175429386487,285648162621213.6,45.5393416044044,3.7672259456370125e-17
14,10518.288287384492,0.6289757667967044,0.9532723036009576,0.941175429386487,401497847275991.25,45.53934160440258,3.8342143544725333e-17
15,10563.827628988895,0.6448204695173465,0.9532723036009576,0.941175429386487,537844173154749.3,45.5393416044044,2.934323853506616e-17
16,10609.366970593299,0.7188232122846805,0.9532723036009576,0.941175429386487,676827573701906.8,45.53934160440258,2.5993798384626353e-17
17,10654.906312197701,0.9146135031172,0.9532723036009576,0.941175429386487,833205846482447.6,45.5393416044044,2.6866494052144915e-17
18,10700.445653802106,1.196806925434705,0.9532723036009576,0.941175429386487,1089935978770396.4,45.53934160440258,2.687502032052674e-17
19,10745.984995406508,1.4967427431532108,0.9532723036009576,0.941175429386487,1547429750034933.8,45.5393416044044,2.3673469738245828e-17
20,10791.524337010913,1.9280321775861942,0.9532723036009576,0.941175429386487,2215142839259515.5,45.53934160440258,2.130287593781323e-17
21,10837.063678615315,2.3380787550398074,0.9532723036009576,0.941175429386487,2973581708852460.5,45.53934160440258,1.9244425716407606e-17
22,10882.603020219718,2.552611845631238,0.9532723036009576,0.941175429386487,3670066817842374.0,45.5393416044044,1.7023015935155638e-17
23,10928.142361824122,3.022525209087964,0.9532723036009576,0.941175429386487,4271222637690239.0,45.5393416044044,1.7319821772949242e-17
24,10973.681703428527,3.523258465427991,0.9532723036009576,0.941175429386487,4889348046268536.0,45.53934160440258,1.763677795438018e-17
25,11019.22104503293,3.976034301418897,0.966275208913649,0.941175429386487,5614900842734292.0,45.53934160440258,1.7098179250311805e-17
26,11064.760386637332,4.28122474541151,0.966275208913649,0.9531951153306664,6387662800753368.0,45.5393416044044,1.5979259590522753e-17
27,11110.299728241736,4.529841202396982,0.966275208913649,0.959228997266862,7047741466315726.0,45.5393416044044,1.522730791228789e-17
28,11155.83906984614,4.70465959896528,0.966275208913649,0.9637756537801854,7500722850748303.0,45.53934160440258,1.4789774463503263e-17
