,xyd,xydiff,xyoff,confile,beam,gfile,dfile,xyref
0,677.03785,0.0,0.0,/Users/kbhirombhakdi/_work/_calib_files/WFC3.IR.G141.cal.V4.32/G141.F140W.V4.32.conf,A,./drzblot_S04/idwbk4d0q_flt.fits,/Users/kbhirombhakdi/_work/_data/15510/mastDownload/HST/idwbk4czq/idwbk4czq_flt.fits,677.03785
1,266.3912,0.0,0.0,,,1.0,1.0,266.3912
