,ww,flam_smooth
0,7515.908565888067,7.573628597125615e-05
1,7515.941700796987,-1.7906194011761624e-17
2,7539.918867593249,-2.07340698361589e-17
3,7539.95264404903,-1.395130084696473e-17
4,7563.929169298432,-1.323401264217992e-17
5,7563.963587301074,2.7617438597079105e-17
6,7587.939471003617,1.930567261928466e-17
7,7587.974530553117,1.6238077489771572e-17
8,7611.9497727088,9.16023566673041e-18
9,7611.98547380516,1.5180230498154303e-17
10,7635.960074413984,1.4644495211335957e-17
11,7635.996417057203,1.2705420222406687e-17
12,7659.970376119169,1.107432388281321e-17
13,7660.007360309246,1.1144493737856932e-17
14,7683.980677824352,1.1897238930625515e-17
15,7684.01830356129,1.390879825677339e-17
16,7707.990979529535,1.6307138106298633e-17
17,7708.029246813332,1.705256639072729e-17
18,7732.001281234718,1.7522326001833917e-17
19,7732.040190065376,1.8508141915093405e-17
20,7756.011582939904,1.8660802445708883e-17
21,7756.051133317419,1.7724416575665347e-17
22,7780.021884645087,1.8101758534202362e-17
23,7780.062076569462,1.8176338402004073e-17
24,7804.032186350269,1.8312906385962256e-17
25,7804.073019821506,1.9049854551757796e-17
26,7828.0424880554565,1.87616885406823e-17
27,7828.083963073548,1.8761010597756965e-17
28,7852.052789760638,1.8996068451869776e-17
29,7852.094906325592,1.949751211724517e-17
30,7876.063091465821,1.9879346603003983e-17
31,7876.105849577635,1.9187832599768372e-17
32,7900.073393171006,1.926826580090221e-17
33,7900.116792829678,1.874406387763185e-17
34,7924.08369487619,1.8864041589583486e-17
35,7924.127736081722,1.8930324264292903e-17
36,7948.093996581373,1.868361031596483e-17
37,7948.138679333763,1.8293408223023647e-17
38,7972.1042982865565,1.816191623068992e-17
39,7972.149622585808,1.7982426833532647e-17
40,7996.114599991741,1.7854283407452198e-17
41,7996.160565837851,1.7864068926591666e-17
42,8020.124901696925,1.7939177167615136e-17
43,8020.171509089894,1.7962258447718923e-17
44,8044.135203402108,1.8008610989399818e-17
45,8044.182452341938,1.8085629415613832e-17
46,8068.145505107293,1.7974154018982174e-17
47,8068.193395593979,1.799697326751715e-17
48,8092.155806812476,1.7926297215804136e-17
49,8092.204338846024,1.7821610428588052e-17
50,8116.166108517657,1.781697885150626e-17
51,8116.215282098066,1.7854576315515507e-17
52,8140.176410222843,1.7606703491905163e-17
53,8140.2262253501085,1.7442767064219733e-17
54,8164.186711928029,1.728367486686939e-17
55,8164.237168602154,1.7228069727073307e-17
56,8188.197013633209,1.7079281459569884e-17
57,8188.2481118541955,1.7035998373194063e-17
58,8212.207315338395,1.6878392205694583e-17
59,8212.25905510624,1.6808484663292226e-17
60,8236.217617043578,1.686433070598989e-17
61,8236.269998358282,1.6847418846645138e-17
62,8260.227918748762,1.680069378956808e-17
63,8260.280941610326,1.6873499478006365e-17
64,8284.238220453946,1.692608657498591e-17
65,8284.29188486237,1.6875287271349684e-17
66,8308.24852215913,1.687581628415248e-17
67,8308.302828114412,1.6955422611564574e-17
68,8332.258823864313,1.6931148397890164e-17
69,8332.313771366456,1.7063064659512217e-17
70,8356.269125569497,1.7108928295446964e-17
71,8356.324714618499,1.7117510437613247e-17
72,8380.279427274681,1.7124974447072523e-17
73,8380.335657870542,1.720720772944766e-17
74,8404.289728979864,1.7156597167650322e-17
75,8404.346601122585,1.7231955862545938e-17
76,8428.300030685048,1.722506401571955e-17
77,8428.357544374629,1.727564770831306e-17
78,8452.310332390232,1.7134084001175825e-17
79,8452.368487626674,1.708255026297243e-17
80,8476.320634095417,1.6892493490001377e-17
81,8476.379430878715,1.668028504447235e-17
82,8500.3309358006,1.652934026951733e-17
83,8500.390374130759,1.640373265789922e-17
84,8524.341237505783,1.6206569826810898e-17
85,8524.401317382803,1.626586936114317e-17
86,8548.351539210968,1.6121806424201592e-17
87,8548.412260634845,1.6168156761709157e-17
88,8572.36184091615,1.6166736602750766e-17
89,8572.423203886889,1.6163700905449043e-17
90,8596.372142621334,1.622751845924252e-17
91,8596.434147138929,1.6255052267793497e-17
92,8620.382444326518,1.631902348747313e-17
93,8620.445090390975,1.6339834195861583e-17
94,8644.392746031703,1.6391333907780942e-17
95,8644.456033643019,1.6460678968614577e-17
96,8668.403047736887,1.6524760938237398e-17
97,8668.466976895059,1.658527461607165e-17
98,8692.413349442071,1.6570716906267862e-17
99,8692.477920147105,1.6521294302031675e-17
100,8716.423651147254,1.6565968062281098e-17
101,8716.488863399147,1.6527577512012443e-17
102,8740.433952852438,1.6574411313904822e-17
103,8740.49980665119,1.6573774499857772e-17
104,8764.44425455762,1.663553340740041e-17
105,8764.510749903235,1.6557313004556878e-17
106,8788.454556262805,1.6588697114179726e-17
107,8788.521693155277,1.6511069650707448e-17
108,8812.464857967989,1.6487369085140897e-17
109,8812.53263640732,1.646897737303284e-17
110,8836.475159673173,1.648567071741466e-17
111,8836.543579659363,1.646522221913422e-17
112,8860.485461378357,1.6456922209079012e-17
113,8860.554522911407,1.6453971319474774e-17
114,8884.49576308354,1.648329738771669e-17
115,8884.565466163449,1.6455592780665455e-17
116,8908.506064788724,1.649743601706266e-17
117,8908.576409415493,1.6484342691593763e-17
118,8932.516366493906,1.644244223986474e-17
119,8932.587352667537,1.6449468736384903e-17
120,8956.52666819909,1.6367032747365696e-17
121,8956.598295919579,1.6345593242460574e-17
122,8980.536969904275,1.6272757105233977e-17
123,8980.609239171623,1.623757338862616e-17
124,9004.54727160946,1.6188625666165432e-17
125,9004.620182423667,1.612402719083094e-17
126,9028.557573314643,1.6068246474803008e-17
127,9028.631125675707,1.6019393029998354e-17
128,9052.567875019826,1.5975668440407606e-17
129,9052.642068927751,1.5955156824753435e-17
130,9076.57817672501,1.5949793051637605e-17
131,9076.653012179797,1.601315102016794e-17
132,9100.588478430194,1.6010078732339224e-17
133,9100.663955431839,1.608546136857298e-17
134,9124.598780135377,1.609478912015727e-17
135,9124.674898683885,1.6106173952831096e-17
136,9148.609081840561,1.6105153172582348e-17
137,9148.685841935923,1.6137231695824967e-17
138,9172.619383545743,1.6102687389844424e-17
139,9172.696785187967,1.609780170659191e-17
140,9196.62968525093,1.6061704760528947e-17
141,9196.707728440013,1.6039664133271738e-17
142,9220.639986956112,1.597874143248699e-17
143,9220.718671692055,1.5991655911795694e-17
144,9244.650288661296,1.5983771766925956e-17
145,9244.7296149441,1.5959510042192035e-17
146,9268.66059036648,1.599194332576675e-17
147,9268.74055819614,1.5961467703806993e-17
148,9292.670892071665,1.5973096891369444e-17
149,9292.751501448183,1.6007341237016602e-17
150,9316.681193776849,1.6003718644749762e-17
151,9316.762444700229,1.6079908405011607e-17
152,9340.691495482033,1.6056781841627303e-17
153,9340.773387952271,1.60799783140327e-17
154,9364.701797187216,1.6003496216981223e-17
155,9364.784331204317,1.598040925118215e-17
156,9388.7120988924,1.5916037356057484e-17
157,9388.795274456355,1.5884821922086386e-17
158,9412.722400597582,1.587255630730729e-17
159,9412.8062177084,1.5824496972296944e-17
160,9436.732702302766,1.5797939724362703e-17
161,9436.817160960445,1.5826333124822763e-17
162,9460.743004007947,1.577179396251145e-17
163,9460.828104212487,1.5793647625802304e-17
164,9484.753305713133,1.574775703548795e-17
165,9484.839047464533,1.5796453674632423e-17
166,9508.763607418316,1.568727747120712e-17
167,9508.849990716571,1.5743243787995038e-17
168,9532.773909123502,1.5674121159410494e-17
169,9532.860933968615,1.5693600134193136e-17
170,9556.784210828684,1.5702520257426323e-17
171,9556.87187722066,1.5762143284386676e-17
172,9580.794512533868,1.569928577413579e-17
173,9580.882820472703,1.570875339552032e-17
174,9604.80481423905,1.563097062229671e-17
175,9604.893763724749,1.5610013578352403e-17
176,9628.815115944235,1.5526548954388192e-17
177,9628.904706976791,1.55595743241725e-17
178,9652.825417649421,1.547402170533273e-17
179,9652.915650228832,1.5463793035812986e-17
180,9676.835719354605,1.5391423287142876e-17
181,9676.926593480877,1.5342628392694668e-17
182,9700.846021059788,1.5237032663311868e-17
183,9700.93753673292,1.5198775000440247e-17
184,9724.856322764972,1.513613844023654e-17
185,9724.948479984965,1.513011689104844e-17
186,9748.866624470154,1.5131677384911266e-17
187,9748.959423237004,1.5104271536906172e-17
188,9772.87692617534,1.5084324249309292e-17
189,9772.97036648905,1.5109976288737513e-17
190,9796.887227880523,1.5093422990928355e-17
191,9796.981309741093,1.5136824804289362e-17
192,9820.897529585704,1.5125135076481707e-17
193,9820.992252993135,1.514021194416663e-17
194,9844.907831290893,1.511217248307663e-17
195,9845.00319624518,1.510948058440988e-17
196,9868.918132996074,1.5079303656285323e-17
197,9869.014139497222,1.5062179228306265e-17
198,9892.928434701258,1.505499804635959e-17
199,9893.025082749264,1.503752148116964e-17
200,9916.93873640644,1.5020165149607862e-17
201,9917.03602600131,1.498725814136308e-17
202,9940.949038111623,1.4891111591964168e-17
203,9941.046969253352,1.4863359702293036e-17
204,9964.959339816807,1.480652596375338e-17
205,9965.057912505396,1.483264267752591e-17
206,9988.969641521991,1.4814794869610623e-17
207,9989.068855757438,1.4818969582873588e-17
208,10012.979943227176,1.47253853610177e-17
209,10013.079799009482,1.4746004588838748e-17
210,10036.99024493236,1.4712188060279115e-17
211,10037.090742261524,1.473515640702262e-17
212,10061.000546637544,1.4728065958499238e-17
213,10061.101685513568,1.4774807093639463e-17
214,10085.010848342728,1.4715259719748226e-17
215,10085.112628765612,1.475170817138536e-17
216,10109.021150047907,1.4660112985664628e-17
217,10109.123572017654,1.4619278343955288e-17
218,10133.031451753095,1.457681038015128e-17
219,10133.134515269698,1.461351884370775e-17
220,10157.04175345828,1.456408459467101e-17
221,10157.145458521742,1.4560757656386425e-17
222,10181.052055163462,1.4455834895577998e-17
223,10181.156401773784,1.4413124725271e-17
224,10205.062356868646,1.4356243912360928e-17
225,10205.167345025828,1.4396905247832634e-17
226,10229.072658573828,1.4326871995741407e-17
227,10229.17828827787,1.4412299321384885e-17
228,10253.082960279016,1.4366349237196536e-17
229,10253.189231529914,1.4401283621570382e-17
230,10277.093261984195,1.437256076383337e-17
231,10277.200174781956,1.4326422008786357e-17
232,10301.10356368938,1.4252223617095674e-17
233,10301.211118034,1.42572923793221e-17
234,10325.113865394564,1.4218893098103546e-17
235,10325.222061286044,1.422136605679837e-17
236,10349.12416709975,1.416062475474157e-17
237,10349.233004538086,1.4183792638745538e-17
238,10373.134468804932,1.4104928263740983e-17
239,10373.24394779013,1.4139660982194735e-17
240,10397.144770510116,1.4082936354178478e-17
241,10397.254891042172,1.41169917113921e-17
242,10421.1550722153,1.4076033736331646e-17
243,10421.265834294216,1.4133974066923248e-17
244,10445.165373920483,1.410203843213831e-17
245,10445.27677754626,1.4110993821568493e-17
246,10469.175675625667,1.407617703507143e-17
247,10469.287720798302,1.4075512098372596e-17
248,10493.185977330852,1.4026247705026762e-17
249,10493.298664050344,1.40185174641229e-17
250,10517.196279036034,1.3938636507223564e-17
251,10517.309607302388,1.3925458474199338e-17
252,10541.206580741218,1.3828421127274492e-17
253,10541.320550554432,1.3871974858208577e-17
254,10565.216882446402,1.3794250738023107e-17
255,10565.331493806476,1.3798256184202432e-17
256,10589.227184151589,1.3772818684195842e-17
257,10589.342437058518,1.3789864649821219e-17
258,10613.237485856773,1.370046460017006e-17
259,10613.353380310558,1.370829498296672e-17
260,10637.247787561955,1.3632061112791465e-17
261,10637.364323562604,1.3697451026118681e-17
262,10661.258089267138,1.3645403415752441e-17
263,10661.375266814648,1.3707278587124735e-17
264,10685.268390972322,1.3625388547142332e-17
265,10685.386210066692,1.3675517717841624e-17
266,10709.278692677504,1.3632819470039814e-17
267,10709.397153318734,1.3692166039725177e-17
268,10733.288994382689,1.3627130327325277e-17
269,10733.408096570776,1.3747526418890835e-17
270,10757.299296087873,1.3675306056141434e-17
271,10757.41903982282,1.372961901648195e-17
272,10781.309597793055,1.3636505081779399e-17
273,10781.429983074864,1.3665438142705133e-17
274,10805.319899498241,1.3574096551305746e-17
275,10805.440926326908,1.3644488375411273e-17
276,10829.330201203424,1.3566994866451446e-17
277,10829.45186957895,1.3613652490742615e-17
278,10853.340502908608,1.3461567610339134e-17
279,10853.462812830992,1.3485353124868146e-17
280,10877.35080461379,1.3369921137529698e-17
281,10877.473756083036,1.3407882998412567e-17
282,10901.361106318976,1.3341876565651704e-17
283,10901.48469933508,1.3367271962445441e-17
284,10925.371408024159,1.3289635851518408e-17
285,10925.495642587124,1.3303062736943693e-17
286,10949.381709729345,1.3251919510116491e-17
287,10949.506585839166,1.3262102947188474e-17
288,10973.392011434527,1.320442818778311e-17
289,10973.517529091208,1.324274510311961e-17
290,10997.40231313971,1.3218956827677182e-17
291,10997.528472343252,1.3210991401128059e-17
292,11021.412614844896,1.316755208258729e-17
293,11021.539415595296,1.3190375373912407e-17
294,11045.422916550078,1.3167426508165917e-17
295,11045.550358847338,1.3213340621838001e-17
296,11069.433218255259,1.3184030721731214e-17
297,11069.56130209938,1.3172573402605489e-17
298,11093.443519960445,1.3137208700842114e-17
299,11093.572245351423,1.3095200825995228e-17
300,11117.45382166563,1.3096701007578647e-17
301,11117.583188603467,1.30564823898653e-17
302,11141.464123370813,1.2988497810657089e-17
303,11141.594131855512,1.2979936139139695e-17
304,11165.474425075998,1.290593828830365e-17
