,xyd,xydiff,xyoff,confile,beam,gfile,dfile,xyref
0,174.72078,21.09942253125979,0.0,/Users/kbhirombhakdi/_work/_calib_files/WFC3.IR.G102.cal.V4.32/G102.F125W.V4.32.conf,A,/Users/kbhirombhakdi/_work/_data/16042/HST/ie8a01jyq/ie8a01jyq_flt.fits,/Users/kbhirombhakdi/_work/_data/16042/HST/ie8a01juq/ie8a01juq_flt.fits,195.82020253125978
1,188.8323,18.853808546267658,0.0,,,1.0,1.0,207.68610854626766
