,xyref,xgbound,dydx,dldp,xh,yh,ww
0,250.1248425312598,25,-0.7442347103574197,6390.955050162699,25,-0.4268808416780563,6991.515303761725
1,161.97981854626767,250,0.012694154747174538,24.020474873467496,26,-0.41418668693088173,7015.537713905685
2,,,,,27.0,-0.4014925321837072,7039.560124049647
3,,,,,28.0,-0.38879837743653267,7063.582534193608
4,,,,,29.0,-0.3761042226893581,7087.604944337569
5,,,,,30.0,-0.36341006794218356,7111.62735448153
6,,,,,31.0,-0.35071591319500905,7135.649764625491
7,,,,,32.0,-0.3380217584478345,7159.672174769452
8,,,,,33.0,-0.32532760370065994,7183.694584913413
9,,,,,34.0,-0.31263344895348544,7207.716995057374
10,,,,,35.0,-0.2999392942063109,7231.739405201335
11,,,,,36.0,-0.2872451394591363,7255.761815345296
12,,,,,37.0,-0.2745509847119618,7279.784225489257
13,,,,,38.0,-0.26185682996478726,7303.806635633218
14,,,,,39.0,-0.2491626752176127,7327.829045777179
15,,,,,40.0,-0.2364685204704382,7351.85145592114
16,,,,,41.0,-0.2237743657232637,7375.8738660651015
17,,,,,42.0,-0.2110802109760891,7399.896276209062
18,,,,,43.0,-0.1983860562289146,7423.918686353023
19,,,,,44.0,-0.18569190148174008,7447.941096496985
20,,,,,45.0,-0.17299774673456547,7471.9635066409455
21,,,,,46.0,-0.16030359198739097,7495.985916784906
22,,,,,47.0,-0.14760943724021647,7520.008326928868
23,,,,,48.0,-0.13491528249304185,7544.030737072828
24,,,,,49.0,-0.12222112774586735,7568.0531472167895
25,,,,,50.0,-0.10952697299869285,7592.07555736075
26,,,,,51.0,-0.09683281825151824,7616.097967504711
27,,,,,52.0,-0.08413866350434374,7640.120377648673
28,,,,,53.0,-0.07144450875716923,7664.1427877926335
29,,,,,54.0,-0.05875035400999462,7688.165197936594
30,,,,,55.0,-0.04605619926282012,7712.187608080556
31,,,,,56.0,-0.03336204451564562,7736.210018224517
32,,,,,57.0,-0.020667889768471004,7760.2324283684775
