,xg,yg,halfdyup,halfdylow
0,259.8558551642653,153.4137303811003,20,20
1,260.8558551642653,153.4224985316712,20,20
2,261.8558551642653,153.43126668224215,20,20
3,262.8558551642653,153.44003483281307,20,20
4,263.8558551642653,153.44880298338398,20,20
5,264.8558551642653,153.45757113395493,20,20
6,265.8558551642653,153.46633928452584,20,20
7,266.8558551642653,153.47510743509676,20,20
8,267.8558551642653,153.4838755856677,20,20
9,268.8558551642653,153.49264373623862,20,20
10,269.8558551642653,153.50141188680954,20,20
11,270.8558551642653,153.51018003738048,20,20
12,271.8558551642653,153.5189481879514,20,20
13,272.8558551642653,153.5277163385223,20,20
14,273.8558551642653,153.53648448909325,20,20
15,274.8558551642653,153.54525263966417,20,20
16,275.8558551642653,153.55402079023509,20,20
17,276.8558551642653,153.56278894080603,20,20
18,277.8558551642653,153.57155709137695,20,20
19,278.8558551642653,153.58032524194786,20,20
20,279.8558551642653,153.5890933925188,20,20
21,280.8558551642653,153.59786154308972,20,20
22,281.8558551642653,153.60662969366064,20,20
23,282.8558551642653,153.61539784423155,20,20
24,283.8558551642653,153.6241659948025,20,20
25,284.8558551642653,153.6329341453734,20,20
26,285.8558551642653,153.64170229594433,20,20
27,286.8558551642653,153.65047044651527,20,20
28,287.8558551642653,153.6592385970862,20,20
29,288.8558551642653,153.6680067476571,20,20
30,289.8558551642653,153.67677489822805,20,20
31,290.8558551642653,153.68554304879896,20,20
32,291.8558551642653,153.69431119936988,20,20
33,292.8558551642653,153.70307934994082,20,20
34,293.8558551642653,153.71184750051174,20,20
35,294.8558551642653,153.72061565108265,20,20
36,295.8558551642653,153.7293838016536,20,20
37,296.8558551642653,153.7381519522245,20,20
38,297.8558551642653,153.74692010279543,20,20
39,298.8558551642653,153.75568825336637,20,20
40,299.8558551642653,153.7644564039373,20,20
41,300.8558551642653,153.7732245545082,20,20
42,301.8558551642653,153.78199270507912,20,20
43,302.8558551642653,153.79076085565006,20,20
44,303.8558551642653,153.79952900622098,20,20
45,304.8558551642653,153.8082971567919,20,20
46,305.8558551642653,153.81706530736284,20,20
47,306.8558551642653,153.82583345793375,20,20
48,307.8558551642653,153.83460160850467,20,20
49,308.8558551642653,153.8433697590756,20,20
50,309.8558551642653,153.85213790964653,20,20
51,310.8558551642653,153.86090606021745,20,20
52,311.8558551642653,153.8696742107884,20,20
53,312.8558551642653,153.8784423613593,20,20
54,313.8558551642653,153.88721051193022,20,20
55,314.8558551642653,153.89597866250116,20,20
56,315.8558551642653,153.90474681307208,20,20
57,316.8558551642653,153.913514963643,20,20
58,317.8558551642653,153.92228311421394,20,20
59,318.8558551642653,153.93105126478486,20,20
60,319.8558551642653,153.93981941535577,20,20
61,320.8558551642653,153.94858756592672,20,20
62,321.8558551642653,153.95735571649763,20,20
63,322.8558551642653,153.96612386706855,20,20
64,323.8558551642653,153.9748920176395,20,20
65,324.8558551642653,153.9836601682104,20,20
66,325.8558551642653,153.99242831878132,20,20
67,326.8558551642653,154.00119646935224,20,20
68,327.8558551642653,154.00996461992318,20,20
69,328.8558551642653,154.0187327704941,20,20
70,329.8558551642653,154.027500921065,20,20
71,330.8558551642653,154.03626907163596,20,20
72,331.8558551642653,154.04503722220687,20,20
73,332.8558551642653,154.0538053727778,20,20
74,333.8558551642653,154.06257352334873,20,20
75,334.8558551642653,154.07134167391965,20,20
76,335.8558551642653,154.08010982449056,20,20
77,336.8558551642653,154.0888779750615,20,20
78,337.8558551642653,154.09764612563242,20,20
79,338.8558551642653,154.10641427620334,20,20
80,339.8558551642653,154.11518242677428,20,20
81,340.8558551642653,154.1239505773452,20,20
82,341.8558551642653,154.1327187279161,20,20
83,342.8558551642653,154.14148687848706,20,20
84,343.8558551642653,154.15025502905797,20,20
85,344.8558551642653,154.1590231796289,20,20
86,345.8558551642653,154.16779133019983,20,20
87,346.8558551642653,154.17655948077075,20,20
88,347.8558551642653,154.18532763134166,20,20
89,348.8558551642653,154.1940957819126,20,20
90,349.8558551642653,154.20286393248352,20,20
91,350.8558551642653,154.21163208305444,20,20
92,351.8558551642653,154.22040023362536,20,20
93,352.8558551642653,154.2291683841963,20,20
94,353.8558551642653,154.23793653476721,20,20
95,354.8558551642653,154.24670468533813,20,20
96,355.8558551642653,154.25547283590907,20,20
97,356.8558551642653,154.26424098648,20,20
98,357.8558551642653,154.2730091370509,20,20
99,358.8558551642653,154.28177728762185,20,20
100,359.8558551642653,154.29054543819277,20,20
101,360.8558551642653,154.29931358876368,20,20
102,361.8558551642653,154.30808173933463,20,20
103,362.8558551642653,154.31684988990554,20,20
104,363.8558551642653,154.32561804047646,20,20
105,364.8558551642653,154.3343861910474,20,20
106,365.8558551642653,154.34315434161832,20,20
107,366.8558551642653,154.35192249218923,20,20
108,367.8558551642653,154.36069064276018,20,20
109,368.8558551642653,154.3694587933311,20,20
110,369.8558551642653,154.378226943902,20,20
111,370.8558551642653,154.38699509447295,20,20
112,371.8558551642653,154.39576324504387,20,20
113,372.8558551642653,154.40453139561478,20,20
114,373.8558551642653,154.4132995461857,20,20
115,374.8558551642653,154.42206769675664,20,20
116,375.8558551642653,154.43083584732756,20,20
117,376.8558551642653,154.43960399789847,20,20
118,377.8558551642653,154.44837214846942,20,20
119,378.8558551642653,154.45714029904033,20,20
120,379.8558551642653,154.46590844961125,20,20
121,380.8558551642653,154.4746766001822,20,20
122,381.8558551642653,154.4834447507531,20,20
123,382.8558551642653,154.49221290132402,20,20
124,383.8558551642653,154.50098105189497,20,20
125,384.8558551642653,154.50974920246588,20,20
126,385.8558551642653,154.5185173530368,20,20
127,386.8558551642653,154.52728550360774,20,20
128,387.8558551642653,154.53605365417866,20,20
129,388.8558551642653,154.54482180474957,20,20
130,389.8558551642653,154.55358995532052,20,20
131,390.8558551642653,154.56235810589143,20,20
132,391.8558551642653,154.57112625646235,20,20
133,392.8558551642653,154.5798944070333,20,20
134,393.8558551642653,154.5886625576042,20,20
135,394.8558551642653,154.59743070817512,20,20
136,395.8558551642653,154.60619885874604,20,20
137,396.8558551642653,154.61496700931698,20,20
138,397.8558551642653,154.6237351598879,20,20
139,398.8558551642653,154.63250331045882,20,20
140,399.8558551642653,154.64127146102976,20,20
141,400.8558551642653,154.65003961160068,20,20
142,401.8558551642653,154.6588077621716,20,20
143,402.8558551642653,154.66757591274254,20,20
144,403.8558551642653,154.67634406331345,20,20
145,404.8558551642653,154.68511221388437,20,20
146,405.8558551642653,154.6938803644553,20,20
147,406.8558551642653,154.70264851502623,20,20
148,407.8558551642653,154.71141666559714,20,20
149,408.8558551642653,154.72018481616809,20,20
150,409.8558551642653,154.728952966739,20,20
151,410.8558551642653,154.73772111730992,20,20
152,411.8558551642653,154.74648926788086,20,20
153,412.8558551642653,154.75525741845178,20,20
154,413.8558551642653,154.7640255690227,20,20
155,414.8558551642653,154.77279371959364,20,20
156,415.8558551642653,154.78156187016455,20,20
157,416.8558551642653,154.79033002073547,20,20
158,417.8558551642653,154.79909817130638,20,20
159,418.8558551642653,154.80786632187733,20,20
160,419.8558551642653,154.81663447244824,20,20
161,420.8558551642653,154.82540262301916,20,20
162,421.8558551642653,154.8341707735901,20,20
163,422.8558551642653,154.84293892416102,20,20
164,423.8558551642653,154.85170707473193,20,20
165,424.8558551642653,154.86047522530288,20,20
166,425.8558551642653,154.8692433758738,20,20
167,426.8558551642653,154.8780115264447,20,20
168,427.8558551642653,154.88677967701565,20,20
169,428.8558551642653,154.89554782758657,20,20
170,429.8558551642653,154.90431597815748,20,20
171,430.8558551642653,154.91308412872843,20,20
172,431.8558551642653,154.92185227929934,20,20
173,432.8558551642653,154.93062042987026,20,20
174,433.8558551642653,154.9393885804412,20,20
