,ww,cps
0,9920.115616167905,-0.37425618599668553
1,9966.889317799023,0.7245612816928286
2,10013.663019430143,0.4099040703891177
3,10060.436721061269,0.6408245043872256
4,10107.21042269239,0.8366733269809146
5,10153.984124323511,0.24010772277101466
6,10200.757825954634,0.34652692843660304
7,10247.531527585754,1.0434511380313296
8,10294.305229216876,1.938307114136066
9,10341.078930847998,3.756963201057758
10,10387.85263247912,5.200240202438678
11,10434.626334110242,7.132909365188922
12,10481.400035741364,9.869487114441242
13,10528.173737372486,12.234267063629474
14,10574.947439003608,18.055386133682575
15,10621.721140634727,29.771287985336627
16,10668.494842265849,36.688108034622516
17,10715.268543896971,43.18189413119539
18,10762.042245528091,55.881876059067096
19,10808.815947159217,77.52256543208345
20,10855.589648790336,122.16425640155062
21,10902.36335042146,162.91918022204618
22,10949.137052052582,190.10888487864713
23,10995.910753683704,208.38870937396268
24,11042.684455314826,238.87162596751432
25,11089.458156945948,280.8655293660281
26,11136.231858577068,325.06876570750455
27,11183.00556020819,350.03160864878873
28,11229.779261839312,362.7990720944522
29,11276.552963470434,366.8439672665713
30,11323.326665101555,370.8958600239871
31,11370.100366732675,376.90107519198637
32,11416.874068363799,375.25735885668973
33,11463.64776999492,376.29785091449
34,11510.421471626045,378.67075378466825
35,11557.195173257163,368.3813451008914
36,11603.968874888289,366.7628319935916
37,11650.74257651941,365.6114233212588
38,11697.51627815053,370.48527319003324
39,11744.289979781654,368.13384038974027
40,11791.063681412774,373.9126737790225
41,11837.837383043896,376.3655360417483
42,11884.611084675018,375.03409320880155
43,11931.384786306138,375.82195670176725
44,11978.158487937259,369.57914192248563
45,12024.93218956838,374.3130253033755
46,12071.705891199505,373.55230314303617
47,12118.479592830627,374.0156505780337
48,12165.253294461749,378.80868536998014
49,12212.026996092869,375.2628992276309
50,12258.800697723991,369.39229566622953
51,12305.574399355113,371.1901648717044
52,12352.348100986235,371.3169978337405
53,12399.121802617356,370.14697391558866
54,12445.89550424848,368.1091988759158
55,12492.6692058796,363.9482763486026
56,12539.442907510722,359.31256992388944
57,12586.216609141844,352.05107910205106
58,12632.990310772966,354.48298794795255
59,12679.764012404086,348.7240613179324
60,12726.53771403521,348.12297851611356
61,12773.31141566633,343.87520582247953
62,12820.08511729745,328.89682347346525
63,12866.858818928577,330.2302506642459
64,12913.632520559695,323.460962362778
65,12960.406222190815,330.2311566548465
66,13007.179923821941,334.7757714467166
67,13053.95362545306,336.1912189202426
68,13100.727327084185,341.84170562792997
69,13147.501028715305,335.30268842746
70,13194.274730346428,334.94030649234037
71,13241.04843197755,334.66083986331205
72,13287.82213360867,336.20053917933683
73,13334.595835239792,331.78908235598783
74,13381.369536870912,333.93638569880704
75,13428.143238502036,327.56124884654264
76,13474.916940133156,318.31932003070096
77,13521.69064176428,323.7639270501254
78,13568.4643433954,324.9679091649173
79,13615.238045026523,325.63995916415433
80,13662.011746657645,316.5393975453494
81,13708.785448288767,313.8063960747836
82,13755.559149919887,311.72967273761014
83,13802.332851551013,305.77810961772184
84,13849.106553182131,302.5063231663821
85,13895.880254813252,298.44753963519315
86,13942.653956444376,297.11546260882596
87,13989.427658075498,291.8774741368411
88,14036.201359706618,289.63392145205717
89,14082.975061337742,290.0205486493228
90,14129.748762968862,290.5107212739108
91,14176.522464599982,290.54628307391386
92,14223.296166231106,285.47091419268827
93,14270.069867862228,282.38391716052274
