,xyd,xydiff,xyoff,confile,beam,gfile,dfile,xyref
0,172.30951,10.54971516426528,0.0,/Users/kbhirombhakdi/_work/_calib_files/WFC3.IR.G141.cal.V4.32/G141.F140W.V4.32.conf,A,/Users/kbhirombhakdi/_work/_data/16042/HST/ie8a02xiq/ie8a02xiq_flt.fits,/Users/kbhirombhakdi/_work/_data/16042/HST/ie8a02xfq/ie8a02xfq_flt.fits,182.85922516426527
1,190.43981,9.426908171769242,0.0,,,1.0,1.0,199.86671817176924
