,xyref,xgbound,dydx,dldp,xh,yh,ww
0,246.49030954876895,20,1.7124591016610817,8971.486316364213,20,1.8873145492565087,9883.126514365435
1,155.40144966808234,195,0.008742772379771346,45.58026794509729,21,1.89605732163628,9928.708524265496
2,,,,,22.0,1.9048000940160512,9974.290534165557
3,,,,,23.0,1.9135428663958227,10019.872544065618
4,,,,,24.0,1.922285638775594,10065.45455396568
5,,,,,25.0,1.9310284111553653,10111.03656386574
6,,,,,26.0,1.9397711835351368,10156.618573765802
7,,,,,27.0,1.948513955914908,10202.200583665863
8,,,,,28.0,1.9572567282946793,10247.782593565924
9,,,,,29.0,1.9659995006744508,10293.364603465985
10,,,,,30.0,1.9747422730542221,10338.946613366046
11,,,,,31.0,1.9834850454339934,10384.528623266107
12,,,,,32.0,1.992227817813765,10430.110633166169
13,,,,,33.0,2.000970590193536,10475.69264306623
14,,,,,34.0,2.0097133625733075,10521.27465296629
15,,,,,35.0,2.018456134953079,10566.856662866352
16,,,,,36.0,2.02719890733285,10612.438672766413
17,,,,,37.0,2.0359416797126215,10658.020682666473
18,,,,,38.0,2.044684452092393,10703.602692566536
19,,,,,39.0,2.053427224472164,10749.184702466595
20,,,,,40.0,2.0621699968519356,10794.766712366656
21,,,,,41.0,2.070912769231707,10840.348722266717
22,,,,,42.0,2.079655541611478,10885.930732166778
23,,,,,43.0,2.0883983139912496,10931.51274206684
24,,,,,44.0,2.097141086371021,10977.0947519669
25,,,,,45.0,2.105883858750792,11022.676761866962
26,,,,,46.0,2.1146266311305637,11068.258771767023
27,,,,,47.0,2.1233694035103348,11113.840781667084
28,,,,,48.0,2.1321121758901063,11159.422791567145
29,,,,,49.0,2.1408549482698778,11205.004801467207
30,,,,,50.0,2.149597720649649,11250.586811367268
31,,,,,51.0,2.1583404930294203,11296.168821267329
32,,,,,52.0,2.167083265409192,11341.75083116739
33,,,,,53.0,2.175826037788963,11387.332841067451
34,,,,,54.0,2.1845688101687344,11432.914850967512
35,,,,,55.0,2.193311582548506,11478.496860867574
36,,,,,56.0,2.202054354928277,11524.078870767635
37,,,,,57.0,2.2107971273080484,11569.660880667696
38,,,,,58.0,2.2195398996878195,11615.242890567757
39,,,,,59.0,2.228282672067591,11660.824900467818
40,,,,,60.0,2.2370254444473625,11706.406910367878
41,,,,,61.0,2.245768216827134,11751.98892026794
42,,,,,62.0,2.254510989206905,11797.570930168
43,,,,,63.0,2.2632537615866766,11843.152940068063
44,,,,,64.0,2.2719965339664476,11888.734949968122
45,,,,,65.0,2.280739306346219,11934.316959868185
46,,,,,66.0,2.2894820787259906,11979.898969768245
47,,,,,67.0,2.298224851105762,12025.480979668306
48,,,,,68.0,2.306967623485533,12071.062989568367
49,,,,,69.0,2.3157103958653047,12116.644999468428
50,,,,,70.0,2.3244531682450758,12162.22700936849
51,,,,,71.0,2.3331959406248473,12207.80901926855
52,,,,,72.0,2.3419387130046188,12253.391029168612
53,,,,,73.0,2.35068148538439,12298.973039068673
54,,,,,74.0,2.3594242577641613,12344.555048968734
55,,,,,75.0,2.368167030143933,12390.137058868795
56,,,,,76.0,2.376909802523704,12435.719068768856
57,,,,,77.0,2.3856525749034754,12481.301078668917
