,ww,cps,apcorr,drzblot_apcorr,sensitivity,wwperpix,flam
58,8380.279427274681,1.0966512719087689,0.8100184578055554,1.2400115092097554,3164895134149819.0,24.010301705182428,1.4367823139359703e-17
59,8404.289728979864,1.1109020902449984,0.8100184578055554,1.2399644412868622,3248695445897935.0,24.010301705184247,1.4179633989606758e-17
60,8428.300030685048,1.1230617988285732,0.8100184578055554,1.2424350241936186,3345977414815149.5,24.010301705184247,1.3890389743991537e-17
61,8452.310332390232,1.1686430238306047,0.8100184578055554,1.246536771345675,3456555042427620.0,24.010301705184247,1.3945714410780218e-17
62,8476.320634095417,1.1746846136512092,0.8100184578055554,1.2501387340263486,3560890326573385.5,24.010301705184247,1.3567878269421911e-17
63,8500.3309358006,1.1453045339886292,0.8100184578055554,1.2503429306414673,3652895445412620.0,24.010301705182428,1.289323987522123e-17
64,8524.341237505783,1.1513498789018546,0.8100184578055554,1.250241007266739,3731444435505604.0,24.010301705184247,1.2689487103775007e-17
65,8548.351539210968,1.1068464550039119,0.8100184578055554,1.2506394734556079,3794617276199593.0,24.010301705182428,1.1992085997802283e-17
66,8572.36184091615,1.1641881532572862,0.8100184578055554,1.250172641442285,3838284838069048.5,24.010301705184247,1.247450875014408e-17
67,8596.372142621334,1.231036613538401,0.8100184578055554,1.2522270886043831,3864791198214434.5,24.010301705184247,1.3078842433193897e-17
68,8620.382444326518,1.2500972286847807,0.8100184578055554,1.2557836896815031,3886712463873964.0,24.010301705184247,1.316903672468617e-17
69,8644.392746031703,1.214615838769057,0.8100184578055554,1.2594609241337127,3923299223730566.0,24.010301705184247,1.2638929098800209e-17
70,8668.403047736887,1.2142568434151015,0.8100184578055554,1.262493397853481,3991920076800361.5,24.010301705184247,1.2388167648851181e-17
71,8692.413349442071,1.2320637344632757,0.8100184578055554,1.2654039045359171,4112527977069681.0,24.010301705182428,1.2173139706634574e-17
72,8716.423651147254,1.3442867074168148,0.8100184578055554,1.2686440375812442,4267152879640338.5,24.010301705184247,1.2767956266047012e-17
