,xyd,xydiff,xyoff,confile,beam,gfile,dfile,xyref
0,676.63081,29.02925471303422,0.0,/Users/kbhirombhakdi/_work/_calib_files/WFC3.IR.G102.cal.V4.32/G102.F105W.V4.32.conf,A,./idwbk5m4q_S04/idwbk5m4q_crclean.fits,/Users/kbhirombhakdi/_work/_data/15510/mastDownload/HST/idwbk5luq/idwbk5luq_flt.fits,705.6600647130342
1,267.33432,21.707601854924434,0.0,,,1.0,1.0,289.04192185492445
