,ww,cps
0,9920.213995891114,-0.6438995665021423
1,9966.966940118116,0.22107380640447616
2,10013.71988434512,0.6572448688777826
3,10060.472828572125,1.3095134660414374
4,10107.22577279913,1.3990338108467313
5,10153.978717026132,0.5645452507514932
6,10200.731661253136,1.3823796396220303
7,10247.48460548014,2.236634792019288
8,10294.237549707144,3.2386872319141844
9,10340.990493934149,6.62771108688581
10,10387.743438161153,8.004728600433438
11,10434.496382388155,9.540184261082644
12,10481.24932661516,11.835884471039662
13,10528.002270842164,17.93994853686931
14,10574.755215069168,27.131195542738666
15,10621.50815929617,35.489637571701664
16,10668.261103523177,43.68837747943995
17,10715.014047750179,53.63651842109037
18,10761.766991977183,73.36094399879535
19,10808.519936204186,107.08940689810093
20,10855.27288043119,151.90434773370808
21,10902.025824658194,189.2993807023943
22,10948.7787688852,210.5382835370079
23,10995.531713112205,234.35461226973058
24,11042.284657339203,273.63267118561146
25,11089.037601566208,319.2015422968266
26,11135.790545793212,354.9000861151563
27,11182.543490020218,371.52752963988314
28,11229.296434247222,379.21454580267863
29,11276.049378474223,383.80100314907395
30,11322.802322701227,385.9103629255611
31,11369.555266928233,387.9802262216164
32,11416.308211155238,389.0112422510316
33,11463.061155382242,392.0233530590183
34,11509.814099609242,387.76776432833077
35,11556.567043836247,385.1033034114929
36,11603.319988063253,383.4468561613181
37,11650.072932290257,380.3248865632498
38,11696.825876517261,382.8700590593505
39,11743.578820744266,386.6845715351334
40,11790.331764971266,389.4687459033637
41,11837.084709198272,393.1207373764443
42,11883.837653425277,393.7865384718461
43,11930.59059765228,394.7183252359405
44,11977.343541879285,393.16120698841496
45,12024.09648610629,391.3746026936549
46,12070.849430333292,394.1111421085879
47,12117.602374560292,391.1215416810444
48,12164.3553187873,386.89307558094606
49,12211.108263014305,388.4443333049054
50,12257.861207241309,389.5470512363607
51,12304.614151468313,387.9508350309817
52,12351.367095695316,386.62369582959275
53,12398.120039922316,383.75166258955915
54,12444.87298414932,382.71948543867495
55,12491.625928376328,380.9311520230423
56,12538.378872603327,376.42574582349647
57,12585.131816830331,373.42090104108644
58,12631.88476105734,369.25540928462357
59,12678.63770528434,365.61916546873476
60,12725.390649511346,361.0742335722391
61,12772.143593738347,352.43508399143053
62,12818.896537965351,348.36617985638395
63,12865.649482192355,342.7367266419528
64,12912.40242641936,343.2425921250077
65,12959.155370646366,349.0538822396919
66,13005.90831487337,353.76453080673
67,13052.66125910037,355.47285711818984
68,13099.414203327375,357.5022328228603
69,13146.16714755438,354.0816441840168
70,13192.920091781385,350.96619216715885
71,13239.67303600839,351.5949417518393
72,13286.425980235394,349.5924699834995
73,13333.178924462394,349.70073118876917
74,13379.9318686894,345.447194048983
75,13426.684812916405,341.855870414499
76,13473.437757143409,340.493645279823
77,13520.190701370413,341.86969108453087
78,13566.943645597417,336.69657325068044
79,13613.696589824422,320.22173140115103
80,13660.44953405142,329.8691903562703
81,13707.202478278425,328.3143878048658
82,13753.955422505429,323.4647543957405
83,13800.708366732431,317.86793593616187
84,13847.461310959441,312.0217933346374
85,13894.214255186444,307.5640445534324
86,13940.967199413444,306.6162918893758
87,13987.720143640448,304.51833283926317
88,14034.47308786745,301.5851634071999
89,14081.22603209446,300.177258894928
90,14127.97897632146,299.40111372917454
91,14174.731920548464,299.7838229893622
92,14221.484864775468,295.802809389723
93,14268.237809002474,292.50275137988956
94,14314.990753229478,290.7919915597293
95,14361.743697456483,290.1946679030284
96,14408.496641683483,289.4291444101066
97,14455.249585910491,285.3625890306412
98,14502.002530137494,283.08099576983454
99,14548.755474364498,279.461836074678
100,14595.508418591498,276.1143614443476
101,14642.261362818503,272.4295037235553
102,14689.014307045507,269.48969756653594
103,14735.767251272513,265.94400846782753
104,14782.520195499517,261.6360314553534
105,14829.273139726518,258.5520340957943
106,14876.026083953522,255.29241922118146
107,14922.779028180526,254.36838058380428
108,14969.531972407533,251.92172693190736
109,15016.284916634537,251.92577207393205
110,15063.037860861541,251.47113485867928
111,15109.790805088542,247.1176178183448
112,15156.543749315548,245.01422827333255
113,15203.296693542548,241.17148548977164
114,15250.049637769553,240.56237258953342
115,15296.80258199656,239.93450157212953
116,15343.555526223565,235.1713341513513
117,15390.308470450564,230.38129379864955
118,15437.061414677568,229.94227753817904
119,15483.814358904576,225.8977400170033
120,15530.567303131576,224.1097634780886
121,15577.32024735858,218.58497500425943
122,15624.073191585589,215.68957933413265
123,15670.826135812591,215.05085145779003
124,15717.579080039592,213.58258827693533
125,15764.3320242666,210.75609516189826
126,15811.0849684936,210.03866871302102
127,15857.837912720603,207.69464289369787
128,15904.590856947607,206.9618361834664
129,15951.343801174611,204.05660772081603
130,15998.096745401615,201.596738191171
131,16044.849689628618,198.37957633224804
132,16091.602633855622,195.36711846095727
133,16138.355578082626,190.43796970463313
134,16185.10852230963,189.3916429264345
135,16231.861466536635,187.54243461035537
136,16278.614410763641,185.14608396843175
137,16325.367354990645,182.4436905966869
138,16372.12029921765,177.83713976619353
139,16418.87324344465,176.1933691142806
140,16465.626187671653,172.47305435734825
141,16512.37913189866,169.54470383432465
142,16559.132076125657,169.38325832203492
143,16605.885020352667,161.77259781582498
144,16652.63796457967,156.1926891945863
145,16699.390908806672,142.54577750302644
146,16746.143853033678,123.62497263494406
147,16792.896797260684,103.0673087681201
148,16839.649741487687,79.50755891853035
149,16886.40268571469,61.5115444954
150,16933.155629941688,46.09986653289387
151,16979.908574168698,34.70616837207557
152,17026.6615183957,28.237076714300926
153,17073.414462622706,21.372326743285754
154,17120.16740684971,16.001137266249685
155,17166.920351076707,13.490716287191347
156,17213.673295303717,10.493282386356654
157,17260.426239530727,8.17726803788122
158,17307.179183757726,5.145700108678753
159,17353.932127984728,3.871926024209884
160,17400.68507221173,3.2535731381421584
161,17447.438016438733,1.6733273502108545
162,17494.19096066574,0.4386711414183395
163,17540.943904892745,1.8822449212346584
164,17587.696849119748,0.5962005699236954
165,17634.44979334675,0.6127799087745132
166,17681.202737573756,-0.9505432214994869
167,17727.955681800762,0.458355440958357
168,17774.708626027765,1.0529916546619091
169,17821.461570254767,-0.3507415154385427
170,17868.214514481766,0.20131298234180406
171,17914.967458708772,-0.4111239935193254
172,17961.720402935778,0.42663619185070445
173,18008.473347162784,-0.09798966963185762
174,18055.226291389787,0.3974094251454403
